,k,distance between 2 TPPs
0,6.33,0.0004478745380396276
1,6.338678678678678,0.005257552811514188
2,6.347357357357358,0.01282758088655811
3,6.356036036036036,0.02243280334658948
4,6.364714714714715,0.03376435685557766
5,6.3733933933933935,0.046641438406908264
6,6.382072072072072,0.06094366010083618
7,6.390750750750751,0.07658484956069955
8,6.399429429429429,0.09350041666529307
9,6.408108108108109,0.1116404049899451
10,6.416786786786787,0.13096531242992526
11,6.425465465465465,0.15144340796720002
12,6.4341441441441445,0.17304892087046042
13,6.442822822822823,0.1957607694615895
14,6.451501501501501,0.21956163960171082
15,6.46018018018018,0.24443729870201736
16,6.468858858858859,0.27037607349872417
17,6.477537537537538,0.2973684448183995
18,6.486216216216216,0.32540672788189084
19,6.494894894894895,0.35448481642423246
20,6.503573573573574,0.38459797527269757
21,6.512252252252252,0.4157426703012028
22,6.520930930930931,0.4479164276164447
23,6.52960960960961,0.48111771589397634
24,6.538288288288288,0.5153458472538226
25,6.546966966966967,0.5506008931372222
26,6.555645645645646,0.5868836124328567
27,6.564324324324325,0.6241953896926802
28,6.573003003003003,0.6625381817219704
29,6.581681681681681,0.7019144711711647
30,6.590360360360361,0.7423272260204143
31,6.599039039039039,0.7837798640540115
32,6.607717717717717,0.8262762215855517
33,6.6163963963963965,0.869820525822
34,6.625075075075075,0.9144173703601908
35,6.633753753753754,0.960071693391157
36,6.642432432432432,1.006788758256711
37,6.651111111111111,1.0545741360567362
38,6.65978978978979,1.1034336900527748
39,6.668468468468468,1.1533735616490333
40,6.6771471471471475,1.204400157765889
41,6.685825825825826,1.256520139443964
42,6.694504504504504,1.3097404115417604
43,6.703183183183183,1.3640681134062191
44,6.711861861861862,1.4195106104121535
45,6.720540540540541,1.4760754862795196
46,6.729219219219219,1.5337705360894347
47,6.737897897897898,1.5926037599283944
48,6.746576576576577,1.6525833570992887
49,6.755255255255255,1.7137177208459207
50,6.763933933933934,1.7760154335414597
51,6.772612612612613,1.8394852622991351
52,6.781291291291291,1.9041361549674605
53,6.78996996996997,1.9699772364752377
54,6.798648648648649,2.0370178054969585
55,6.807327327327327,2.1052673314113264
56,6.816006006006006,2.1747354515285053
57,6.8246846846846845,2.2454319685641124
58,6.833363363363364,2.3173668483409386
59,6.842042042042042,2.390550217700259
60,6.850720720720721,2.4649923626060968
61,6.8593993993994,2.5407037264293777
62,6.868078078078078,2.6176949083973895
63,6.876756756756757,2.6959766621973458
64,6.8854354354354355,2.7755598947232514
65,6.894114114114114,2.856455664955213
66,6.902792792792793,2.938675182963884
67,6.911471471471471,3.0222298090296675
68,6.92015015015015,3.1071310528710328
69,6.928828828828829,3.193390572973996
70,6.937507507507507,3.281020176016085
71,6.946186186186186,3.3700318163802834
72,6.954864864864865,3.4604375957524596
73,6.963543543543544,3.552249762797601
74,6.972222222222222,3.6454807129105333
75,6.980900900900901,3.7401429880370003
76,6.98957957957958,3.83624927656075
77,6.998258258258258,3.933812413253662
78,7.0069369369369365,4.03284537928527
79,7.015615615615616,4.133361302288414
80,7.024294294294294,4.23537345647911
81,7.032972972972973,4.338895262826746
82,7.041651651651652,4.44394028927303
83,7.05033033033033,4.550522250997425
84,7.059009009009009,4.658655010726562
85,7.0676876876876875,4.768352579085786
86,7.076366366366367,4.879629114991488
87,7.085045045045045,4.9924989260817085
88,7.093723723723723,5.10697646918409
89,7.102402402402403,5.223076350820008
90,7.111081081081081,5.340813327742104
91,7.119759759759759,5.460202307505519
92,7.1284384384384385,5.581258349071057
93,7.137117117117117,5.703996663438538
94,7.145795795795796,5.828432614310628
95,7.154474474474474,5.954581718784716
96,7.163153153153154,6.082459648073225
97,7.171831831831832,6.2120822282506225
98,7.18051051051051,6.343465441026552
99,7.1891891891891895,6.476625424544899
100,7.197867867867868,6.611578474207192
101,7.206546546546546,6.7483410435202416
102,7.215225225225225,6.8869297449678015
103,7.223903903903904,7.027361350904293
104,7.232582582582583,7.169652794471951
105,7.241261261261261,7.313821170539185
106,7.24993993993994,7.459883736660835
107,7.258618618618619,7.6078579140596645
108,7.267297297297297,7.757761288627634
109,7.275975975975976,7.909611611948726
110,7.284654654654655,8.063426802340587
111,7.293333333333333,8.219224945916451
112,7.302012012012012,8.37702429766609
113,7.3106906906906906,8.536843282555836
114,7.319369369369369,8.69870049664722
115,7.328048048048048,8.862614708234581
116,7.336726726726726,9.028604859000303
117,7.345405405405406,9.196690065188498
118,7.354084084084084,9.366889618796442
119,7.362762762762763,9.539222988783834
120,7.3714414414414415,9.713709822299414
121,7.38012012012012,9.890369945924753
122,7.388798798798799,10.069223366935994
123,7.397477477477477,10.250290274581502
124,7.406156156156156,10.433591041377781
125,7.414834834834835,10.619146224421044
126,7.423513513513513,10.806976566716557
127,7.432192192192192,10.997102998523935
128,7.440870870870871,11.189546638719492
129,7.44954954954955,11.384328796174579
130,7.458228228228228,11.58147097115102
131,7.466906906906907,11.780994856712574
132,7.475585585585586,11.98292234015286
133,7.484264264264264,12.187275504439313
134,7.492942942942943,12.394076629673918
135,7.501621621621622,12.603348194570053
136,7.5103003003003,12.815112877945083
137,7.5189789789789785,13.029393560230005
138,7.527657657657658,13.246213324994592
139,7.536336336336336,13.465595460489297
140,7.545015015015015,13.687563461202856
141,7.553693693693694,13.912141029436675
142,7.562372372372373,14.13935207689498
143,7.571051051051051,14.369220726291566
144,7.5797297297297295,14.60177131297263
145,7.588408408408409,14.837028386556248
146,7.597087087087087,15.07501671258757
147,7.605765765765765,15.315761274210999
148,7.614444444444445,15.559287273858587
149,7.623123123123123,15.80562013495495
