$C_0$=1.0,y,$C_0$=1.25,y,$C_0$=1.5,y,$C_0$=1.75,y,$C_0$=2.0,y
4.676317791407953,1.001,0.9076265554896575,1.251,0.33009559730454474,1.501,0.1764760945391941,1.751,0.1252156654021745,2.001
12.52846797607287,1.0027179998282871,2.2232150075478874,1.252467749578037,0.7291675520564219,1.5022174993277868,0.3465351778756537,1.7519672490775364,0.21486383891173358,2.0017169988272863
20.156164435307637,1.0044359996565746,3.5193494745475737,1.253935499156074,1.1251705796583693,1.5034349986555735,0.5159714916418606,1.752934498155073,0.30440311355566535,2.0024339976545726
27.565437902983007,1.0061539994848618,4.796326084752537,1.2554032487341111,1.5181329109092154,1.5046524979833604,0.6847888481978882,1.7539017472326097,0.39383416816734873,2.003150996481859
34.76214999501386,1.0078719993131493,6.054436125557832,1.2568709983121482,1.9080824974479265,1.5058699973111471,0.8529910382362499,1.7548689963101463,0.48315768037430545,2.0038679953091454
41.75199826775021,1.0095899991414365,7.2939661297112774,1.2583387478901853,2.295047014848143,1.507087496638934,1.0205818309392582,1.7558362453876828,0.5723743266092987,2.0045849941364318
48.540521114484214,1.0113079989697238,8.515197959867882,1.2598064974682224,2.6790538656741556,1.508304995966721,1.1875649741348342,1.7568034944652193,0.6614847821213573,2.0053019929637177
55.133102505584056,1.0130259987980113,9.718408891511972,1.2612742470462595,3.0601301825005764,1.5095224952945077,1.3539441944513706,1.7577707435427559,0.750489720987064,2.006018991791004
61.534976577598684,1.0147439986262985,10.903871694280983,1.2627419966242965,3.438302830895518,1.5107399946222946,1.5197231974714558,1.7587379926202926,0.8393898161212747,2.0067359906182904
67.75123207647985,1.016461998454586,12.071854711724285,1.2642097462023336,3.813598412367025,1.5119574939500813,1.6849056678842862,1.7597052416978292,0.928185739288376,2.007452989445577
73.78681665985452,1.0181799982828732,13.222621939529594,1.2656774957803707,4.1860432672750125,1.5131749932778682,1.8494952696373326,1.7606724907753657,1.0168781611132476,2.008169988272863
79.6465410631471,1.0198979981111604,14.356433102248648,1.2671452453584078,4.555663477707071,1.5143924926056551,2.013495646086531,1.7616397398529022,1.1054677510922721,2.0088869871001496
85.33508313413252,1.021615997939448,15.473543728553407,1.2686129949364449,4.922484870320364,1.5156099919334418,2.176910420145565,1.7626069889304388,1.1939551776043298,2.009603985927436
90.85699174036586,1.0233339977677351,16.574205225052975,1.270080744514482,5.286533019149315,1.5168274912612287,2.33974319443405,1.7635742380079755,1.2823411079217721,2.0103209847547223
96.21669055377254,1.0250519975960226,17.65866494870131,1.271548494092519,5.6478332483789355,1.5180449905890154,2.5019975514244637,1.764541487085512,1.3706262082213898,2.0110379835820087
101.41848171650473,1.0267699974243099,18.72716627782434,1.273016243670556,6.006410635085884,1.5192624899168024,2.6636770535883834,1.7655087361630486,1.4588111435953717,2.011754982409295
106.46654939206437,1.0284879972525973,19.779948681795375,1.2744839932485932,6.362290011945667,1.5204799892445893,2.824785243541275,1.7664759852405851,1.5468965780621795,2.012471981236581
111.3649632055019,1.0302059970808846,20.81724778938622,1.2759517428266303,6.715495969908122,1.521697488572376,2.9853256441864735,1.767443234318122,1.6348831745777022,2.0131889800638674
116.11768157641609,1.0319239969091718,21.839295455821446,1.2774194924046673,7.066052860840891,1.5229149879001629,3.1453017588578898,1.7684104833956584,1.7227715950458442,2.0139059788911537
120.7285549482982,1.0336419967374593,22.846319828562297,1.2788872419827044,7.413984800140742,1.5241324872279498,3.304717071462056,1.769377732473195,1.8105625003296422,2.01462297771844
125.20132891767521,1.0353599965657465,23.838545411846198,1.2803549915607415,7.759315669314377,1.5253499865557365,3.463575046618782,1.7703449815507315,1.8982565502621085,2.0153399765457265
129.53964726637258,1.037077996394034,24.81619313000732,1.2818227411387786,8.102069118528384,1.5265674858835234,3.6218791298009787,1.771312230628268,1.9858544036571115,2.016056975373013
133.74705490008444,1.0387959962223212,25.77948038960311,1.2832904907168157,8.442268569128323,1.5277849852113101,3.779632747473475,1.7722794797058048,2.073356718320249,2.0167739742002992
137.82700069636124,1.0405139960506085,26.7286211403711,1.2847582402948527,8.779937216128731,1.529002484539097,3.9368393072306658,1.7732467287833413,2.1607641510597033,2.0174909730275856
141.78284026497818,1.042231995878896,27.663825935039675,1.2862259898728898,9.115098030672646,1.530219983866884,4.093502197933507,1.7742139778608779,2.248077357697099,2.018207971854872
145.61783862356847,1.0439499957071832,28.585301988016354,1.287693739450927,9.447773762462607,1.5314374831946707,4.249624789845215,1.7751812269384144,2.3352969930783396,2.0189249706821584
149.33517279130334,1.0456679955354706,29.493253232975842,1.289161489028964,9.777986942162777,1.5326549825224576,4.405210434766127,1.776148476015951,2.422423711084384,2.0196419695094443
152.9379343032839,1.0473859953637579,30.387880379370714,1.290629238607001,10.105759883772139,1.5338724818502443,4.560262466167632,1.7771157250934877,2.509458164642296,2.0203589683367307
156.42913164824603,1.0491039951920451,31.26938096788618,1.2920969881850382,10.431114686970446,1.5350899811780312,4.714784199324953,1.7780829741710242,2.596401005735719,2.021075967164017
159.8116926320653,1.0508219950203326,32.137949424860125,1.2935647377630752,10.754073239435627,1.5363074805058181,4.868778931449331,1.7790502232485608,2.6832528854159095,2.0217929659913034
163.08846666947144,1.0525399948486198,32.99377711568974,1.2950324873411123,11.074657219134435,1.5375249798336048,5.02224994181896,1.7800174723260973,2.770014453812471,2.02250996481859
166.26222700630956,1.0542579946769073,33.83705239724443,1.2965002369191494,11.392888096586134,1.5387424791613917,5.175200491909094,1.7809847214036338,2.856686360144157,2.023226963645876
