y,x,x_0_1,x_1_0,attraction_0,attraction_1,total_attraction,att_derivative_0,att_derivative_1,total_att_derivative
19.4848,0.012053200059053193,0.012053200059053193,0.012053200059053193,-7.448497987474119,9.3055187721984,1.8570207847242814,-1000.5823156010953,9.296222549648753,-991.2860930514465
19.464458342236373,0.05358941405519435,0.05358941405518913,0.05358941405518913,-6.447600816066631,9.289575227098487,2.841974411031856,-368.50050844773347,9.26439460415521,-359.23611384357827
19.444116684472736,0.09389401059115654,0.0938940105911617,0.0938940105911617,-5.956742154851862,9.273686222074295,3.3169440672224324,-226.0118143033758,9.232729835693908,-216.77908446768188
19.42377502670911,0.13300103636469401,0.13300103636469401,0.13300103636469401,-5.628390027179181,9.257851477745625,3.6294614505664438,-163.08001974295237,9.201227130723058,-153.87879261222932
19.403433368945475,0.17094355954514107,0.17094355954514107,0.17094355954514107,-5.381176214450975,9.242070716637153,3.860894502186178,-127.61718660865995,9.169885385183333,-118.44730122347661
19.383091711181844,0.20775369969218616,0.20775369969219087,0.20775369969219087,-5.182762545262246,9.226343663162272,4.043581117900025,-104.86053913212668,9.138703504401219,-95.72183562772545
19.362750053418218,0.2434626566977141,0.2434626566977141,0.2434626566977141,-5.01696704266675,9.210670043607024,4.193703000940274,-89.01880793055223,9.1076804029934,-79.91112752755883
19.342408395654584,0.27810073878462294,0.27810073878462294,0.27810073878462294,-4.874523157335663,9.195049586114221,4.3205264287785585,-77.35596720456776,9.076815004772287,-68.27915219979548
19.322066737890953,0.31169738959543225,0.3116973895954365,0.3116973895954365,-4.7496263167793655,9.17948202066774,4.429855703888374,-68.4112196674689,9.046106242652716,-59.36511342481619
19.301725080127326,0.3442812144022852,0.3442812144022811,0.3442812144022811,-4.638398845045495,9.16396707907696,4.525568234031464,-61.333572364842475,9.015553058559714,-52.318019306282764
19.281383422363692,0.3758800054686216,0.3758800054686216,0.3758800054686216,-4.538121434056089,9.148504494961344,4.610383060905255,-55.59370580627613,8.98515440333732,-46.60855140293881
19.261041764600062,0.4065207665919354,0.4065207665919395,0.4065207665919395,-4.446813260582094,9.133094003735222,4.6862807431531275,-50.84510699171308,8.954909236658576,-41.8901977550545
19.240700106836435,0.43622973685570543,0.4362297368557022,0.4362297368557022,-4.362986642166302,9.117735342592686,4.754748700426385,-46.851423790390825,8.924816526936478,-37.92660726345434
19.2203584490728,0.465032413617712,0.465032413617712,0.465032413617712,-4.285495812251778,9.102428250492634,4.8169324382408565,-43.445911162530074,8.89487525123601,-34.551035911294065
19.20001679130917,0.49295357476095414,0.49295357476095414,0.49295357476095414,-4.2134395578265496,9.087172468144011,4.873732910317462,-40.50756380707133,8.865084395187242,-31.642479411884086
19.179675133545544,0.5200173002323006,0.5200173002322971,0.5200173002322971,-4.146096221283818,9.071967737991155,4.925871516707337,-37.946439121926026,8.835442952899404,-29.11099616902662
19.159333475781906,0.5462469928932764,0.5462469928932799,0.5462469928932799,-4.082878957571578,9.056813804199281,4.973934846627704,-35.694290853823695,8.805949926875929,-26.888340926947766
19.13899181801828,0.571665398706319,0.55398488,0.571665398706319,-4.023304114445192,9.041710412640185,5.018406298194993,-33.698399077937886,8.776604327930633,-24.92179475000725
19.118650160254653,0.5962946262791611,0.55398488,0.5962946262791577,-3.966968371828238,9.02665731087798,5.0596889390497415,-31.917392426898964,8.747405175104666,-23.169987251794296
19.098308502491015,0.6201561657890327,0.55398488,0.6201561657890358,-3.913531880827219,9.011654248155054,5.098122367327835,-30.31835040016848,8.718351495584571,-21.59999890458391
19.07796684472739,0.6432709073076883,0.55398488,0.6432709073076883,-3.8627056067690884,8.996700975378177,5.133995368609089,-28.874750396118714,8.689442324621316,-20.185308071497396
19.057625186963755,0.6656591585475061,0.55398488,0.6656591585475061,-3.81424167793445,8.981797245104664,5.167555567170214,-27.564985486682463,8.660676705450092,-18.904308781232373
19.037283529200124,0.6873406620480746,0.55398488,0.6873406620480774,-3.7679259221553107,8.966942811528757,5.199016889373446,-26.37127601557211,8.632053689211242,-17.739222326360867
19.016941871436497,0.7083346118221753,0.55398488,0.7083346118221753,-3.72357202183618,8.95213743046811,5.22856540863193,-25.278858119175485,8.60357233487198,-16.675285784303504
18.996600213672863,0.7286596694791849,0.55398488,0.7286596694791849,-3.6810168837042467,8.93738085935039,5.256363975646142,-24.27537031352985,8.57523170914903,-15.700138604380822
18.976258555909233,0.7483339798434351,0.55398488,0.7483339798434363,-3.6401169323991183,8.922672857200054,5.282555924800935,-23.350383950728357,8.547030886432196,-14.80335306429616
18.955916898145606,0.7673751860843855,0.55398488,0.7673751860843829,-3.6007451151715526,8.908013184625222,5.30726806945367,-22.495039658843382,8.518968948708778,-13.976070710134604
18.935575240381972,0.7858004443748401,0.55398488,0.7858004443748401,-3.562788460004067,8.893401603804673,5.330613143800606,-21.701762868020296,8.49104498548884,-13.210717882531457
18.91523358261834,0.8036264380929323,0.55398488,0.8036264380929347,-3.5261460688111295,8.87883787847501,5.352691809663881,-20.964039053846935,8.463258093731387,-12.500780960115549
18.894891924854715,0.8208693915829723,0.55398488,0.8208693915829701,-3.4907274558869044,8.864321773917919,5.373594318031014,-20.27623456710801,8.435607377771344,-11.840627189336665
18.87455026709108,0.8375450834897635,0.55398488,0.8375450834897635,-3.4564511626899286,8.849853056947532,5.393401894257604,-19.633452615554972,8.408091949247355,-11.225360666307617
18.85420860932745,0.8536688596805146,0.55398488,0.8536688596805146,-3.423243595585623,8.835431495897987,5.4121879003123645,-19.031416606433655,8.380710927030467,-10.650705679403188
