BSA_low_k_interval is [8.667917118838542, 9.392012624769265] 
BSA_low_rmse_interval is [0.23893475535610173, 0.4107282302472086] 
BSA_intermediate_k_interval is [8.91884130406206, 9.800660583561852] 
BSA_intermediate_rmse_interval is [1.9043309151135428, 2.562985607601388] 
BSA_high_k_interval is [8.926010566497018, 9.62142902268791] 
BSA_high_rmse_interval is [3.6159743212858153, 4.685538040200507] 
P_k_interval is [10.66097207575677, 11.707684391260587] 
P_loss_interval is [0.03467118180348142, 0.05699163901885054] 
Soil_nitrate_k_interval is [9.277304425809943, 10.309678216443846] 
Soil_nitrate_rmse_interval is [0.4033369077570677, 0.5515921875718369]
